harry
disse
rony
hagrid
hermione
cabeça
olhos
dumbledore
tinha
perguntou
=
snape
porta
potter
weasley
parecia
lockhart
voz
vamos
havia
alguma
dele
sr.
draco
quase
estavam
sala
grifinória
ah
casa
tinham
varinha
hogwarts
escola
duda
malfoy
viu
senhor
rosto
profa
alunos
tio
volta
deu
chão
mione
válter
mão
vou
dia
alto
dobby
neville
respondeu
melhor
ficou
alguém
dursley
depressa
fred
cara
ninguém
hora
noite
frente
riddle
acho
sonserina
carro
jorge
gina
falar
outro
olhar
pessoas
madame
pedra
filch
ano
tivesse
quirrell
prof
ia
percy
saiu
mesa
gritou
exclamou
tentando
começou
claro
direção
quadribol
ar
falou
fazendo
câmara
sra.
olhou
livros
corredor
ficar
repente
garoto
vassoura
poderia
sabia
coisas
mundo
trouxas
professor
boca
capa
chapéu
bruxo
minerva
sido
cabelos
deles
aula
tia
gente
eram
ouviu
mãos
cama
diário
petúnia
há
hoje
magia
correndo
pai
nome
pessoa
bruxos
teria
passar
fosse
livro
trás
seguinte
finalmente
abriu
castelo
entrar
olhando
anos
parede
queria
mim
vida
devia
vestes
tentou
realmente
janela
carta
mcgonagall
voltar
nariz
será
sorriso
murta
força
família
espelho
sair
nenhum
time
acha
bateu
parou
instante
sentiu
menino
tenha
manhã
minutos
conseguiu
pensar
floresta
deixou
durante
salão
cobra
braço
voldemort
professora
passou
rua
goyle
sangue
mãe
seguida
alta
contar
luz
pés
silêncio
algum
pirraça
tom
verdade
entrou
coruja
garotos
enorme
pé
caiu
murmurou
andar
olívio
secreta
ouviram
continuou
estivesse
deixar
wood
rúbeo
aconteceu
dando
ouvir
encontrar
fogo
ideia
pensou
capítulo
crabbe
professores
atenção
escada
banheiro
dela
corpo
mesma
chegar
continuava
velho
slytherin
teto
difícil
história
nick
falando
pudesse
escuro
chegou
trem
pena
puxou
voltou
pareceu
horas
costas
virou
poção
olhe
amigos
armário
levantou
pernas
razão
seja
jogo
feitiço
feito
dizendo
modo
muita
tirou
canino
granger
dragão
cheio
pareciam
ergueu
óculos
vira
balaço
trevas
cair
entrada
desapareceu
tornou
última
preciso
conseguia
jeito
ponta
achou
parar
colin
trasgo
saíram
biblioteca
caso
contou
certo
pomfrey
parecendo
esperando
levou
comprar
meia
comunal
poções
natal
aranhas
matar
exatamente
medo
palavras
bruxas
campo
cartas
lareira
ombro
sorte
mulher
pensando
paredes
expressão
justino
aulas
mamãe
testa
correu
andando
vista
vassouras
caldeirão
feitiços
entraram
forte
cadeira
ficaram
procurando
agarrou
dedos
homem
acrescentou
principal
estamos
amigo
berrou
pais
virou-se
nervoso
raiva
apanhou
descobrir
simas
canto
perguntar
querer
trabalho
soltou
braços
acontecendo
gilderoy
fantasma
casas
gringotes
houve
sozinho
levar
sol
passado
feliz
precisa
cinquenta
lufa-lufa
direto
gostaria
banco
ruído
única
encontrou
apareceu
coração
parado
jamais
começar
imediatamente
tirar
furioso
cheia
pior
veio
inteira
rápido
cachorro
viram
chá
sentado
elfo
festa
pomo
nor-r-ra
edwiges
cuidado
fundo
dor
embaixo
barulho
loja
vinha
vendo
cozinha
espero
acima
famoso
bolso
palavra
ler
podiam
basilisco
cochichou
passos
mágica
cor
salto
papai
resto
pequeno
tamanho
apontando
iria
hum
voando
diretor
estranha
flitwick
torre
dormitório
fofo
gêmeos
cabeças
ansioso
lados
comentou
chocolate
férias
classe
cicatriz
podemos
horrível
semana
provavelmente
gato
própria
fawkes
herdeiro
perder
comigo
passaram
aberta
tomar
junto
água
suficiente
chegaram
ruim
vermelho
mandou
aniversário
lembrar
vir
aposto
esperar
sorrindo
acabara
segundos
estranho
céu
lúcio
saguão
aluno
sapo
dias
sentia
explicou
apanhar
ficando
abrir
problema
ouro
corujas
mostrar
árvores
jogadores
garota
flamel
si
portas
comer
longo
lentamente
muitas
procurar
prata
jantar
você-sabe-quem
ouvi
exceto
acreditar
norberto
pediu
carlinhos
dentes
verde
nele
sussurrou
vontade
vá
afinal
completamente
reparou
enormes
língua
papel
ernie
partida
escuridão
corredores
monitor
ouviu-se
longa
caixa
janelas
envelope
acabado
começaram
baixinho
querido
meninos
precisava
pergunta
conta
inteiro
sinal
frio
orelhas
estivera
vi
trouxa
achava
percebeu
pescoço
presente
monstro
voar
morto
ouvido
plataforma
jogar
nimbus
mágicas
bruxa
aonde
café
leu
apontou
bater
grito
importante
único
estaria
visto
simplesmente
geme
chamas
goles
dino
artes
centímetros
esteja
iam
lembrou
dado
certa
anda
sensação
sério
fôlego
daqui
soube
sentou
suponho
tivera
usava
batendo
manter
normal
dinheiro
pássaro
invisibilidade
morte
seletor
retrato
fizeram
deixando
mandar
penas
escura
subiram
expulso
lista
mergulhou
quis
metade
tinta
pele
escapar
parava
ombros
concordou
explicar
filho
sacudiu
espiou
alfeneiros
2000
boxe
lorde
acham
apanhador
juntos
sprout
unicórnio
precisamos
estação
seguro
buraco
saindo
morrer
pálido
pergaminho
som
tivessem
sentou-se
cobras
dormir
lançou
dúvida
desculpe
dizia
foto
exames
cabana
ouvidos
ala
velas
corvinal
cartão
desesperado
olivaras
pequena
esquerda
velocidade
dragões
varinhas
resmungou
indo
gaiola
responder
gosto
contente
verão
maneira
escondido
baixa
surpresa
rosnou
sentir
velha
perguntas
vidro
semanas
dava
minuto
negros
visão
coragem
sabem
usando
andava
distância
escrivaninha
ronan
árvore
madeira
invisível
hooch
taça
segurando
sorriu
nela
chance
chave
fechou
impedir
várias
leve
entender
nisso
comida
correr
passando
diga
perna
trinta
altura
joelhos
rispidez
londres
observando
poderes
diferente
fica
espécie
alvo
via
pensei
deitar
rapidamente
jardim
ataque
srta
terminou
fila
subir
barreira
pó
parecer
multidão
ministério
branco
bilhete
estômago
vazia
dessas
espiando
ganhou
ofegou
lágrimas
animado
falava
deram
rir
tocou
erguendo
causa
encontraram
sibilou
gigante
recebeu
retrucou
ligeiramente
sono
imaginando
afastou
acontecer
aragogue
hospitalar
borgin
arthur
firenze
cena
gata
vivas
deixe
fique
gorda
achei
nuvens
fudge
página
aprender
apertando
olhava
letivo
prazer
empurrou
fome
escadas
desaparecer
choque
começando
cheiro
fácil
cabelo
bola
resposta
engoliu
conhecer
repetiu
firmeza
relógio
deus
sendo
ouvira
pessoal
centenas
severo
sequer
quisesse
irmã
gostava
peças
encontrado
balaços
levado
lesmas
binns
livre
túnel
fotos
ganhar
existe
brilhando
bolas
vivo
vejo
lhes
fumaça
mármore
branca
anunciou
tremendo
série
estudantes
chamou
acabou
tomou
querendo
pararam
viva
esticou
deitado
fizera
faziam
alívio
deixado
culpa
pratos
pôr
voltaram
desceu
olharam
virar
perdeu
sentar
bicho
seco
barba
assunto
estrelas
mexeu
excelente
graça
chamado
direito
simples
ataques
creevey
malão
agouro
flint
pronto
tirando
coberto
prato
nicolau
perebas
jordan
menina
lino
engraçado
indicando
olho
pretas
abaixo
guardando
diagonal
morreu
mau
pânico
espere
risada
encarar
pendurado
hein
par
senhores
trêmula
capaz
vaso
casaco
esperou
terror
dito
errado
deixara
pacote
gemeu
entanto
passara
dê
curioso
estávamos
novamente
silenciosamente
observava
lábios
pedir
delas
obviamente
idiota
permissão
mason
ajudar
conseguir
acaso
planta
xadrez
fechar
correram
peito
grades
venha
metros
subiu
tocar
confusão
séculos
defesa
sozinhos
satisfeito
turbante
longbottom
finnigan
particularmente
irmãos
gritos
mala
fênix
ovo
tampouco
dourado
pilha
vê-lo
precisar
passo
atravessaram
roubar
parada
presa
beco
guarda-caça
continuar
espada
terrível
material
amanhã
esquisito
fechada
conseguira
gritando
acabar
pedindo
pedaço
esperança
visitar
terminar
preso
vermelha
pedro
levava
voltara
acordou
igual
puxando
visível
matou
gaguejou
ido
estremeceu
imóvel
acordado
feio
diferentes
roupas
olhada
sabiam
estiver
mandrágoras
filosofal
suéter
seção
folhas
arquibancadas
significa
viraram
cano
desceram
herbologia
poucos
desagradável
baixou
mesas
sombra
encontro
aparecer
surpreso
achar
fala
recuou
deveria
levantar
desaparecido
saída
conversa
pouquinho
grampo
cofre
sentados
arco
brilhante
livrar
apertou
música
chegado
degraus
voou
sapos
furado
monte
melhores
tomando
quente
preto
sombras
chaves
medida
palmas
curva
mochila
perigoso
infeliz
preparar
suspirou
orelha
agarrando
deixa
dedo
perigo
lembrava
verdes
presentes
assustado
vozes
escrever
pegou
chegara
fossem
rabo
meia-noite
haver
desses
deviam
aborrecido
sentido
atravessou
esquecera
atravessar
receber
realidade
espiar
máquina
estrondo
puro
ai
marcos
terá
prêmio
fato
enfrentar
terra
masmorra
entreolharam
masmorras
conversar
possa
chamar
fantasmas
escancarou
andou
acabei
imagino
disseram
olá
aposento
neve
vinham
colunas
lago
disparou
duende
sorria
fez-se
demasiado
transfiguração
precisam
arregalados
atacar
sabemos
preocupe
baque
olha
chega
anterior
dera
escreveu
linha
correio
buscar
famílias
desejou
sugeriu
esforço
faça
aranha
curvou
faria
confirmou
segurava
óbvio
duro
trazia
azuis
altos
magro
fixos
poderiam
acontecera
sentindo
esperava
largo
contrário
preocupado
preocupar
comum
iriam
queriam
proibida
conteúdo
polissuco
feiticexpresso
chuva
ossos
salvar
olhem
ouvia
gritar
morta
atirou
pressa
presas
gostou
dever
gargalhada
gramado
largou
descer
meteu
ajuda
irmão
guarda
carrinho
lembro
tenham
adiante
banquinho
espanto
vampiros
encantado
dono
paz
seguir
ordem
ruins
afundou
rostos
barco
tempestade
mar
cem
cheios
saia
sapatos
barriga
sacudindo
informou
riu
pesado
aproximou
bolo
gostar
dissera
memória
escorregou
mexer
pedras
sábado
saltou
apanhado
turma
tentava
rato
horror
diferença
jornal
corrida
aguda
jardins
movimento
voo
triste
acordar
procura
francamente
imaginar
roupa
escuras
decididamente
guardar
risadinha
longas
distante
estivessem
devagarinho
notícia
trazendo
tido
foi-se
pôs
avançou
estranhamente
piscou
efeito
rindo
alegremente
opinião
bobagem
lugares
lia
uso
pinças
fiz
colegas
vergonha
sineta
verificar
clareira
lama
pendurada
ouvindo
começara
derrubou
negras
ha
luar
feia
jogador
regulamento
firme
sussurro
mostrou
vermelhos
fios
transformar
provar
torno
descoberto
gui
monitores
excitado
avisar
comprou
vermelhas
narinas
descobriu
passagem
negra
balcão
deixem
olhares
acredito
meter
fria
poderoso
repentinamente
profundamente
bico
bruxaria
chocado
pudim
bolsos
diria
pulso
altas
alegre
oposta
calma
entrando
fundos
passavam
viagem
continuavam
carregava
pia
morrido
arrastando
dormindo
dali
pudessem
vento
chorando
escutando
televisão
bacon
sonho
haviam
enxergar
aceno
manga
consigo
sujo
aviso
perfeito
raio
trouxe
fingir
fraca
devo
longos
estátua
idade
aparência
seca
senhora
esganiçada
almoço
humor
esperanças
asas
segredo
sangues
galo
flu
gnomos
azkaban
entendeu
vulto
trilha
brilho
detenção
páginas
imagem
pista
respiração
deserto
lábio
deveres
bastão
balizas
alçapão
vivos
mexendo
tornar
oportunidade
duelos
troféus
impulso
carteira
cuidar
corria
escadaria
franzindo
barão
sir
queixo
principalmente
seleção
abertura
seguiram
escondidos
levantaram
caras
batida
bolos
doces
achando
fingindo
afastando
expresso
consegue
fina
empurrando
gesto
jogou
hospital
sentaram
terríveis
atirando
repentino
cauda
carvalho
rouco
diabo
importa
estreita
mostrando
saíam
cumprimentou
brancas
espiada
perguntando
animais
preta
ótimo
suavemente
segurança
levantando
sobrancelhas
quiser
guarda-chuva
evitar
maiores
cavalo
lembra
treino
notas
gole
salsichas
ficara
deixaram
sofá
casebre
fino
soubesse
irmos
beber
cansado
colo
aberto
àquela
plantas
queremos
rouca
caindo
uniforme
smeltings
estranhos
zangado
conseguiam
repetir
entendo
esconder
moleque
neles
batia
nervosa
amiga
controle
porco
ovos
fita
velhas
davam
mistério
meias
levantou-se
clique
brilhava
companhia
viver
embrulho
pequenos
mortos
passada
ansiosa
abafadores
calmamente
vê
impaciente
ocupado
ande
problemas
decidido
caro
desculpas
perceber
ficava
diziam
cidade
pensamento
encarou
arregalou
trabalhar
estranhas
bigodes
’s
dippet
emília
salazar
patrício
diabretes
unhas
intenção
fechando
doméstico
visitas
afastar
tabuleiro
teremos
lobisomem
cautela
curso
reservada
